tool,category,requires_key,tested_live_in_this_workspace,role_in_best_workflow,score_1_to_5,reason
Brave Search API,search,yes,yes,production_primary_search,5,"Independent web index, structured API, live key check passed and 10-row production sample completed."
SerpAPI Google Search,search,yes,no,production_primary_or_cross_check_search,5,"High-quality Google SERP coverage and structured results; higher cost, not live-tested because no API key is configured."
Tavily Search API,search,yes,no,supplemental_search,4,"Agent-oriented search snippets can improve recall and evidence text; best used as a supplement."
Firecrawl Search,search_and_scrape,yes,unit_tested_no_live_key,supplemental_search_and_js_scrape_fallback,4,"Combines search and scrape, supports domain filters and GitHub category; useful when budget allows."
Serper,search,yes,unit_tested_no_live_key,cost_sensitive_google_serp_candidate,4,"Low-cost Google SERP API candidate; should be benchmarked against SerpAPI before production use."
Bing Web Search API,search,yes,no,enterprise_compliance_candidate,3,"Azure-backed option for enterprise environments; ranking differences require cross-checking."
Apify Google Search Scraper,search,yes,no,batch_serp_export_candidate,3,"Good for batch scraping/export through Apify actors; less direct for lightweight CLI workflows."
ScrapingBee Google/SERP API,search_and_scrape,yes,no,alternate_search_and_scrape_provider,3,"Can combine SERP and scraping; useful as a fallback vendor."
Exa Search API,semantic_search,yes,no,semantic_discovery_candidate,2,"Better for semantic discovery than exact official-site lookup; not first choice for provider-name matching."
ddgs,search,no,yes,exploratory_no_key_search,3,"Worked on real samples and found official domains, but had substantial noise and should not be the only production source."
trafilatura,extraction,no,yes,primary_static_page_extractor,5,"Worked well on normal provider websites and extracts clean text for scoring."
Playwright,dynamic_extraction,no,no,js_only_fallback,4,"Needed for JavaScript-only websites such as 247Tasker, but expensive to run on every candidate."
RapidFuzz,matching,no,yes,name_domain_title_matching,5,"Normalization plus fuzzy matching gives reliable provider/domain/title similarity signals."
